date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:42	3290/3290	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2007:14:42%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-08.png	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-08.png	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:42	3228/3228	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2007:06:26%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-01.png	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-01.png	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:42	2381/2381	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2007:10:52%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-03.png	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-03.png	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:42	3179/3179	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2007:08:50%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-05.png	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-05.png	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:42	4660/4660	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Jun%202021%2007:11:22%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-06.png	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/icon-06.png	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:43	94238/94238	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Aug%202018%2018:39:06%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-1.jpg	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-1.jpg	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:43	98388/98388	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Aug%202018%2018:38:54%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-2.jpg	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-2.jpg	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:43	102076/102076	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Aug%202018%2018:38:32%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-3.jpg	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/Images/img-3.jpg	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:44	63467/63467	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2011:17:54%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/bootstrap.min.js	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:46	282113/282113	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2015%20Aug%202018%2011:51:38%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/jquery.js	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/jquery.js	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:47	399/399	---MCZ	200	added ('OK')	application/javascript	etag:%2218f-B+zGUTbQ1uVsG8y1uf+53Qdwne0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/My%20Web%20Sites/codexexpert/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:47	119513/119513	---MCZ	200	added ('OK')	application/javascript	etag:%221d2d9-GfzwmKFRyI8c779QM/TeRXFTXj0%22	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	C:/My%20Web%20Sites/codexexpert/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.js	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:47	1269/1269	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2012%20Sep%202016%2006:51:06%20GMT	https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/mocassin.min.js	C:/My%20Web%20Sites/codexexpert/skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/js/mocassin.min.js	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/index.html)
13:40:48	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/codexexpert/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://skdevbd.com/codexexpert/TF-ITEM/Codex-Hover-Effect-Pro-Live/assets/css/main-style.css)
